DATE_ID;ANNEE;TRIMESTRE;MOIS;SAISON;NUM_JOUR_MOIS;JOUR
15-01-2014;2014;T1;01;Automne;15;mer.
16-01-2014;2014;T1;01;Automne;16;jeu.
17-01-2014;2014;T1;01;Automne;17;ven.
18-01-2014;2014;T1;01;Automne;18;sam.
19-01-2014;2014;T1;01;Automne;19;dim.
20-01-2014;2014;T1;01;Automne;20;lun.
21-01-2014;2014;T1;01;Automne;21;mar.
22-01-2014;2014;T1;01;Automne;22;mer.
23-01-2014;2014;T1;01;Automne;23;jeu.
24-01-2014;2014;T1;01;Automne;24;ven.
25-01-2014;2014;T1;01;Automne;25;sam.
26-01-2014;2014;T1;01;Automne;26;dim.
27-01-2014;2014;T1;01;Automne;27;lun.
28-01-2014;2014;T1;01;Automne;28;mar.
29-01-2014;2014;T1;01;Automne;29;mer.
30-01-2014;2014;T1;01;Automne;30;jeu.
31-01-2014;2014;T1;01;Automne;31;ven.
01-02-2014;2014;T1;02;Hiver;1;sam.
02-02-2014;2014;T1;02;Hiver;2;dim.
03-02-2014;2014;T1;02;Hiver;3;lun.
04-02-2014;2014;T1;02;Hiver;4;mar.
05-02-2014;2014;T1;02;Hiver;5;mer.
06-02-2014;2014;T1;02;Hiver;6;jeu.
07-02-2014;2014;T1;02;Hiver;7;ven.
08-02-2014;2014;T1;02;Hiver;8;sam.
09-02-2014;2014;T1;02;Hiver;9;dim.
10-02-2014;2014;T1;02;Hiver;10;lun.
11-02-2014;2014;T1;02;Hiver;11;mar.
12-02-2014;2014;T1;02;Hiver;12;mer.
13-02-2014;2014;T1;02;Hiver;13;jeu.
14-02-2014;2014;T1;02;Hiver;14;ven.
15-02-2014;2014;T1;02;Hiver;15;sam.
16-02-2014;2014;T1;02;Hiver;16;dim.
17-02-2014;2014;T1;02;Hiver;17;lun.
18-02-2014;2014;T1;02;Hiver;18;mar.
19-02-2014;2014;T1;02;Hiver;19;mer.
20-02-2014;2014;T1;02;Hiver;20;jeu.
21-02-2014;2014;T1;02;Hiver;21;ven.
22-02-2014;2014;T1;02;Hiver;22;sam.
23-02-2014;2014;T1;02;Hiver;23;dim.
24-02-2014;2014;T1;02;Hiver;24;lun.
25-02-2014;2014;T1;02;Hiver;25;mar.
26-02-2014;2014;T1;02;Hiver;26;mer.
27-02-2014;2014;T1;02;Hiver;27;jeu.
28-02-2014;2014;T1;02;Hiver;28;ven.
01-03-2014;2014;T1;03;Hiver;1;sam.
02-03-2014;2014;T1;03;Hiver;2;dim.
03-03-2014;2014;T1;03;Hiver;3;lun.
04-03-2014;2014;T1;03;Hiver;4;mar.
05-03-2014;2014;T1;03;Hiver;5;mer.
06-03-2014;2014;T1;03;Hiver;6;jeu.
07-03-2014;2014;T1;03;Hiver;7;ven.
08-03-2014;2014;T1;03;Hiver;8;sam.
09-03-2014;2014;T1;03;Hiver;9;dim.
10-03-2014;2014;T1;03;Hiver;10;lun.
11-03-2014;2014;T1;03;Hiver;11;mar.
